date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:51	1484/1484	---M--	200	added ('OK')	image/svg+xml	etag:%220x8DDF478E2B5205D%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/apple/image_small.svg	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/apple/image_small.svg	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:53:54	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:23:55%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/mac/image_large.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/mac/image_large.9.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:53:57	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:23:57%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/mac/image_small.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/mac/image_small.a.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:53:59	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:23:59%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/ipad/image_large.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/ipad/image_large.b.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:01	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:01%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/ipad/image_small.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/ipad/image_small.c.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:03	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:04%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/iphone/image_large.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/iphone/image_large.d.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:06	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:06%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/iphone/image_small.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/iphone/image_small.e.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:08	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:08%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/watch/image_large.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/watch/image_large.f.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:10	1653/1653	---M--	200	added ('OK')	image/svg+xml	etag:%220x8DDF478E339E7A3%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/watch/image_small.svg	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/watch/image_small.svg	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:12	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:13%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/tv/image_large.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/tv/image_large.11.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:14	632/632	---M--	200	added ('OK')	image/svg+xml	etag:%220x8DDF478E3346F86%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/tv/image_small.svg	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/tv/image_small.svg	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:16	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:17%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/music/image_large.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/music/image_large.13.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:18	1556/1556	---M--	200	added ('OK')	image/svg+xml	etag:%220x8DDF478E3271117%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/music/image_small.svg	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/music/image_small.svg	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:21	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:21%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/support/image_large.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/support/image_large.15.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:23	2308/2308	---M--	200	added ('OK')	image/svg+xml	etag:%220x8DDF478E32C8938%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/support/image_small.svg	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/links/support/image_small.svg	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:25	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:25%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/search/image_large.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/search/image_large.17.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:27	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:27%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/search/image_small.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/search/image_small.18.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:29	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:29%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/bag/image_large.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/bag/image_large.19.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:31	898/898	---M--	200	added ('OK')	image/svg+xml	etag:%220x8DDF478E2BE64BF%22	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/bag/image_small.svg	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/bag/image_small.svg	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
23:54:34	321/321	---M--	404	error ('The%20requested%20content%20does%20not%20exist.')	text/html	date:Mon,%2015%20Sep%202025%2018:24:34%20GMT	https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/search/icon_reset_small.html	C:/My%20Web%20Sites/apple%20pop/twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/globalnav/search/icon_reset_small.1b.delayed	(from https://twqiuwe.z30.web.core.windows.net/ioxwebifcodeinf01logicishtml/Base.css)
